world_rank,university_name,national_rank,total_score,alumni,award,hici,ns,year
90,University of Arizona,46,24.7,14.5,0,27.2,27.5,2015
92,University of Warwick,9,24.6,0,29.8,23.7,14,2015
93,Arizona State University,47,24.5,0,20,22.2,25.5,2015
93,"University of California, Santa Cruz",47,24.5,0,0,37.9,33.9,2015
93,University of Utah,47,24.5,0,11.5,26.5,25.5,2015
96,McMaster University,4,24.4,12.6,18.8,23.2,15.1,2015
97,University of Bonn,4,24.3,15.4,19.8,17.4,21.1,2015
98,VU University Amsterdam,4,24.2,0,0,27.8,18,2015
99,Michigan State University,50,24,8.9,0,30.7,21.8,2015
100,Texas A&M University,51,23.9,0,0,34.3,22.7,2015
101-150,Aix Marseille University,05-jun,,13.6,0,15.2,20.3,2015
101-150,Baylor College of Medicine,52-65,,0,0,23.7,29.2,2015
101-150,Case Western Reserve University,52-65,,30.3,10.9,15.9,19,2015
101-150,Emory University,52-65,,0,0,28.4,22,2015
101-150,Université libre de Bruxelles (ULB),3,,19.9,26.6,11.3,11.8,2015
101-150,Georgia Institute of Technology,52-65,,12.6,0,30.3,22.4,2015
101-150,Icahn School of Medicine at Mount Sinai,52-65,,0,0,26.8,25,2015
101-150,Indiana University Bloomington,52-65,,10.3,21.6,18.5,21.9,2015
101-150,London School of Economics and Political Science,oct-17,,19.9,16.3,15.2,,2015
101-150,Lund University,4,,21.2,0,22.5,16.3,2015
101-150,Mayo Medical School,52-65,,0,0,35.4,12.8,2015
101-150,Monash University,05-jul,,0,0,18.4,22.6,2015
101-150,National University of Singapore,1,,0,0,19.3,20.3,2015
101-150,Norwegian University of Science and Technology - NTNU,2,,13.6,21,10.1,12.9,2015
101-150,Peking University,01-abr,,0,0,11.2,21.5,2015
101-150,Radboud University Nijmegen,05-jul,,16.2,0,12.3,19.3,2015
101-150,Seoul National University,1,,0,0,12.3,17.9,2015
101-150,Shanghai Jiao Tong University,01-abr,,0,0,12.6,10.6,2015
101-150,Swiss Federal Institute of Technology Lausanne,5,,0,0,26.1,29.2,2015
101-150,Technical University of Denmark,3,,5.1,11.5,21.1,14.6,2015
101-150,The University of Glasgow,oct-17,,7.3,0,24.9,18.5,2015
101-150,The University of New South Wales,05-jul,,0,0,20.2,17.8,2015
101-150,The University of Sheffield,oct-17,,17.8,13.3,18.4,17.5,2015
101-150,The University of Texas M. D. Anderson Cancer Center,52-65,,0,0,28.2,21.4,2015
101-150,Tohoku University,5,,14.5,0,23.9,21,2015
101-150,Tsinghua University,01-abr,,10.3,0,10,26.8,2015
101-150,Tufts University,52-65,,18.5,16.3,20.1,15.4,2015
101-150,University of Alberta,05-jun,,11.5,0,23.9,19.2,2015
101-150,University of Amsterdam,05-jul,,5.1,0,20.8,18.8,2015
101-150,University of Birmingham,oct-17,,18.5,9.4,20.8,12.7,2015
101-150,"University of California, Riverside",52-65,,12.6,0,24.7,23.9,2015
101-150,University of Frankfurt,05-ago,,30.3,0,19.6,21.2,2015
101-150,University of Freiburg,05-ago,,18.5,18.8,13,24.4,2015
101-150,University of Goettingen,05-ago,,30.8,14.9,13.1,20,2015
101-150,University of Leeds,oct-17,,17,0,18.4,18.4,2015
101-150,University of Liverpool,oct-17,,17,13.3,14.9,18.6,2015
101-150,University of Massachusetts Amherst,52-65,,13.6,0,32,16.9,2015
101-150,University of Massachusetts Medical School - Worcester,52-65,,0,20,15.9,24.9,2015
101-150,University of Montreal,05-jun,,11.5,0,17.2,17.3,2015
101-150,University of Muenster,05-ago,,19.2,13.3,14.8,14.7,2015
101-150,University of Nottingham,oct-17,,11.5,20,19.1,15.9,2015
101-150,University of Rochester,52-65,,24.6,7.7,25.2,20.8,2015
101-150,University of Sao Paulo,1,,0,0,12.2,12.1,2015
101-150,University of Southampton,oct-17,,0,0,24.6,19.5,2015
101-150,University of Sydney,05-jul,,14.5,0,9.6,18.1,2015
101-150,University of Virginia,52-65,,0,0,27,27.7,2015
101-150,University of Wageningen,05-jul,,0,0,24.1,19.8,2015
101-150,University Paris Diderot - Paris 7,05-jun,,11.5,9.4,14.9,30.2,2015
101-150,Weizmann Institute of Science,3,,17.8,16.3,17,34.7,2015
101-150,Zhejiang University,01-abr,,0,0,7.1,13.5,2015
151-200,Cardiff University,18-21,,0,16.3,13.6,17.8,2015
151-200,Catholic University of Louvain,4,,10.3,13.3,15.9,9.1,2015
151-200,Erasmus University,8,,0,14.9,22,8,2015
151-200,Fudan University,05-jul,,0,0,12.2,13.1,2015
151-200,George Mason University,66-78,,0,31.9,5.1,8.9,2015
151-200,Hokkaido University,06-jul,,11.5,16.3,7.2,15.6,2015
151-200,Iowa State University,66-78,,0,0,20.1,17.1,2015
151-200,Joseph Fourier University (Grenoble 1),07-ago,,0,14.9,16.3,21.9,2015
151-200,King Abdulaziz University,01-feb,,0,0,29.1,7.2,2015
151-200,King Saud University,01-feb,,0,0,32.5,5.9,2015
151-200,Nanyang Technological University,2,,0,0,11.2,10.5,2015
151-200,National Taiwan University,1,,11.5,0,13.9,11.6,2015
151-200,North Carolina State University - Raleigh,66-78,,0,0,25.2,12.8,2015
151-200,Oregon Health and Science University,66-78,,0,0,20.8,22.1,2015
151-200,Oregon State University,66-78,,10.3,0,23,21.2,2015
151-200,Queen Mary University of London,18-21,,17.8,0,18.1,13.7,2015
151-200,Sapienza University of Rome,01-may,,11.5,13.3,5.1,12.1,2015
151-200,Sun Yat-sen University,05-jul,,0,0,8.7,9.9,2015
151-200,Tel Aviv University,4,,0,0,20.7,14.8,2015
151-200,The Chinese University of Hong Kong,01-feb,,0,14.1,15.1,5.2,2015
151-200,The University of Adelaide,8,,14.5,0,16.3,12.9,2015
151-200,The University of Georgia,66-78,,0,0,20.6,16.7,2015
151-200,The University of Hong Kong,01-feb,,0,0,17.5,14.2,2015
151-200,Tokyo Institute of Technology,06-jul,,12.6,0,15.9,15.3,2015
151-200,Trinity College Dublin,1,,10.3,13.3,12.3,13.1,2015
151-200,University of Barcelona,1,,0,0,15.1,11.7,2015
151-200,University of Bern,6,,12.6,0,16.3,19.2,2015
151-200,University of Buenos Aires,1,,14.5,24,0,9.7,2015
151-200,University of Delaware,66-78,,10.3,16.3,20.1,10,2015
151-200,University of Exeter,18-21,,0,0,17.8,18.4,2015
151-200,University of Gothenburg,5,,0,15.4,12.3,14.5,2015
151-200,University of Hamburg,sep-13,,11.5,0,13.9,21.7,2015
151-200,University of Hawaii at Manoa,66-78,,0,0,20.1,22.9,2015
151-200,University of Illinois at Chicago,66-78,,0,0,21,14.5,2015
151-200,University of Iowa,66-78,,0,0,20.3,18.8,2015
151-200,University of Kiel,sep-13,,10.3,13.3,13.8,13.7,2015
151-200,University of Koeln,sep-13,,0,11.5,8.6,19.3,2015
151-200,University of Miami,66-78,,0,0,22,14.7,2015
151-200,University of Milan,01-may,,17,0,14.2,9.6,2015
151-200,University of Padua,01-may,,0,0,11.3,16.1,2015
151-200,University of Paris Descartes (Paris 5),07-ago,,11.5,9.4,12.2,13.5,2015
151-200,University of Pisa,01-may,,13.6,23.1,7.2,6.5,2015
151-200,University of Science and Technology of China,05-jul,,0,0,15.9,13.9,2015
151-200,University of Sussex,18-21,,0,22.4,15.2,12.1,2015
151-200,University of Tennessee - Knoxville,66-78,,10.3,0,17.9,14.2,2015
151-200,University of Tuebingen,sep-13,,22.4,0,12.2,17.4,2015
151-200,University of Turin,01-may,,15.4,0,16.2,8.5,2015
151-200,University of Vienna,1,,13.6,0,15.9,21.1,2015
151-200,University of Wuerzburg,sep-13,,19.2,0,18.9,15,2015
151-200,Virginia Commonwealth University,66-78,,10.3,14.1,15.9,7.8,2015
201-300,Autonomous University of Barcelona,02-may,,0,0,5,12.9,2015
201-300,Autonomous University of Madrid,02-may,,0,0,11.3,9.9,2015
201-300,Beijing Normal University,ago-13,,15.4,0,5,7.9,2015
201-300,Brandeis University,79-102,,19.2,0,8.6,18.8,2015
201-300,Charles University in Prague,1,,8.9,0,0,9,2015
201-300,City University of Hong Kong,03-abr,,0,0,18.1,1.5,2015
201-300,Claude Bernard University Lyon 1,sep-15,,10.3,0,0,18.8,2015
201-300,Colorado State University,79-102,,0,0,20.3,14.2,2015
201-300,Complutense University of Madrid,02-may,,19.2,0,0,8.6,2015
201-300,Curtin University,09-nov,,0,0,8.7,12,2015
201-300,Dalhousie University,jul-16,,0,0,12.2,13.1,2015
201-300,Dartmouth College,79-102,,17.8,0,20.7,14.4,2015
201-300,Delft University of Technology,09-oct,,11.5,0,8.6,18.1,2015
201-300,Durham University,22-28,,0,0,19.6,14.6,2015
201-300,Ecole Normale Superieure - Lyon,sep-15,,0,20,3.6,14.5,2015
201-300,Florida State University,79-102,,0,0,14.6,16.2,2015
201-300,Vrije Universiteit Brussel (VUB),05-jun,,13.6,0,5,10,2015
201-300,Harbin Institute of Technology,ago-13,,0,0,8.7,5.4,2015
201-300,Huazhong University of Science and Technology,ago-13,,0,0,0,8.7,2015
201-300,Indiana University-Purdue University at Indianapolis,79-102,,0,0,7.1,12.8,2015
201-300,Jilin University,ago-13,,0,0,0,8.9,2015
201-300,Karlsruhe Institute of Technology (KIT),14-21,,0,0,12,14.9,2015
201-300,Korea Advanced Institute of Science and Technology,02-may,,0,0,8.3,14.1,2015
201-300,Korea University,02-may,,0,0,8.7,8.7,2015
201-300,KTH Royal Institute of Technology,06-jul,,0,14.9,3.6,10.3,2015
201-300,Kyushu University,08-sep,,0,0,13.1,12.3,2015
201-300,Laval University,jul-16,,0,0,15,8.6,2015
201-300,Louisiana State University - Baton Rouge,79-102,,0,0,13.6,14.3,2015
201-300,Maastricht University,09-oct,,0,0,10.7,5.9,2015
201-300,Macquarie University,09-nov,,0,0,18.1,13.1,2015
201-300,Medical University of Vienna,02-mar,,8.9,9.4,8.6,9.3,2015
201-300,Nanjing University,ago-13,,0,0,0.7,9.3,2015
201-300,National Autonomous University of Mexico,1,,12.6,0,3.3,8.5,2015
201-300,National Tsing Hua University,2,,12.6,0,5.1,12.9,2015
201-300,Newcastle University,22-28,,0,0,12.2,15.2,2015
201-300,Northeastern University,79-102,,0,0,15.9,16.5,2015
201-300,Paul Sabatier University (Toulouse 3),sep-15,,0,0,12.3,20.2,2015
201-300,Polytechnic Institute of Milan,06-ago,,7.3,14.9,5,7,2015
201-300,Pompeu Fabra University,02-may,,0,0,5,19.7,2015
201-300,Queen's University,jul-16,,0,0,13.1,11.9,2015
201-300,RWTH Aachen University,14-21,,0,0,16.3,6.3,2015
201-300,Simon Fraser University,jul-16,,0,0,12.2,13.2,2015
201-300,Stony Brook University,79-102,,0,0,14.8,18.4,2015
201-300,Sungkyunkwan University,02-may,,0,0,0,11.1,2015
201-300,Swedish University of Agricultural Sciences,06-jul,,0,0,13.3,14.3,2015
201-300,The George Washington University,79-102,,11.5,0,6.3,12,2015
201-300,The Hong Kong University of Science and Technology,03-abr,,0,0,17.4,9.2,2015
201-300,The University of Auckland,01-feb,,13.6,0,10.1,11.9,2015
201-300,The University of Calgary,jul-16,,0,0,13.8,13.6,2015
201-300,The University of Dundee,22-28,,0,0,16.8,16.9,2015
201-300,The University of New Mexico - Albuquerque,79-102,,0,0,14.9,16.8,2015
201-300,The University of Texas Health Science Center at Houston,79-102,,0,15.4,13.9,11.3,2015
201-300,Toulouse School of Economics,sep-15,,0,29.8,8.6,0,2015
201-300,TU Dresden,14-21,,0,0,10.7,14.6,2015
201-300,"University at Buffalo, the State University of New York",79-102,,0,0,13.1,9.3,2015
201-300,University of Aberdeen,22-28,,0,13.3,12.2,12.5,2015
201-300,University of Alabama at Birmingham,79-102,,0,0,18.1,11.2,2015
201-300,University of Bergen,3,,0,0,10.7,16.5,2015
201-300,University of Bologna,06-ago,,0,0,13.8,10,2015
201-300,University of Bordeaux,sep-15,,0,0,15.9,17.9,2015
201-300,University of Cape Town,01-feb,,18.5,0,12.2,11.5,2015
201-300,University of Cincinnati,79-102,,0,0,22.6,9.2,2015
201-300,University of East Anglia,22-28,,13.6,0,19.2,15.6,2015
201-300,University of Erlangen-Nuremberg,14-21,,0,0,15.9,14.5,2015
201-300,University of Florence,06-ago,,0,0,15.2,10.1,2015
201-300,University of Guelph,jul-16,,0,0,17.5,10.4,2015
201-300,University of Houston,79-102,,0,0,17.3,13.4,2015
201-300,University of Innsbruck,02-mar,,0,9.4,14.8,18.6,2015
201-300,University of Kansas,79-102,,11.5,0,11.3,14.1,2015
201-300,University of Kentucky,79-102,,10.3,0,3.6,12.1,2015
201-300,University of Lausanne,7,,0,0,14.9,22,2015
201-300,University of Leicester,22-28,,0,0,14.6,18.5,2015
201-300,University of Leipzig,14-21,,11.5,13.3,0,9.3,2015
201-300,University of Liege,05-jun,,7.3,0,10.1,13.5,2015
201-300,University of Lisbon,1,,0,8.1,5,12.5,2015
201-300,University of Lorraine,sep-15,,11.5,16.3,0,9.8,2015
201-300,University of Mainz,14-21,,0,7.7,8.9,15.9,2015
201-300,University of Marburg,14-21,,10.3,0,14.3,13.4,2015
201-300,"University of Maryland, Baltimore",79-102,,0,0,19.1,13.6,2015
201-300,University of Montpellier,sep-15,,10.3,0,6.3,17.7,2015
201-300,University of Nebraska - Lincoln,79-102,,17,0,16.8,11.6,2015
201-300,University of Notre Dame,79-102,,12.6,0,17.5,13.9,2015
201-300,University of Otago,01-feb,,0,0,12.2,10.1,2015
201-300,University of Ottawa,jul-16,,0,0,8.6,14.9,2015
201-300,University of South Carolina - Columbia,79-102,,0,0,16.8,8.4,2015
201-300,University of South Florida,79-102,,0,0,16.3,10.4,2015
201-300,University of Southern Denmark,4,,0,0,7.2,11.9,2015
201-300,University of Stuttgart,14-21,,18.5,0,10.1,12.2,2015
201-300,University of Tehran,1,,12.6,0,10,0,2015
201-300,University of the Witwatersrand,01-feb,,18.5,0,7.1,15.8,2015
201-300,University of Tsukuba,08-sep,,0,19.6,5.8,10.4,2015
201-300,University of Victoria,jul-16,,0,0,17.2,11.3,2015
201-300,University of Waterloo,jul-16,,0,0,14.6,13.8,2015
201-300,University of Wollongong,09-nov,,0,0,17.4,9.2,2015
201-300,University of York,22-28,,0,0,13.9,15.2,2015
201-300,Virginia Polytechnic Institute and State University,79-102,,11.5,0,11.4,11.4,2015
201-300,Western University,jul-16,,0,0,5.1,13.5,2015
201-300,Xian Jiao Tong University,ago-13,,0,0,8.7,7.7,2015
201-300,Yeshiva University,79-102,,0,0,6.3,21.7,2015
201-300,Yonsei University,02-may,,0,0,8.6,4.9,2015
301-400,Aalborg University,5,,0,0,11.2,4.6,2015
301-400,Beihang University,14-27,,0,0,8.6,3.9,2015
301-400,Brigham Young University,103-125,,8.9,0,12.2,8.4,2015
301-400,Central South University,14-27,,0,0,7.1,2.1,2015
301-400,Chalmers University of Technology,08-oct,,0,0,8.9,10.7,2015
301-400,Chiba University,10-dic,,0,0,10,9.7,2015
301-400,China Agricultural University,14-27,,0,0,0,13.9,2015
301-400,China Medical University,03-may,,0,0,13.6,2.1,2015
301-400,City University of New York City College,103-125,,31.2,0,5.1,6.9,2015
301-400,Dalian University of Technology,14-27,,0,0,5,5,2015
301-400,Deakin University,dic-19,,0,0,0,8.6,2015
301-400,Drexel University,103-125,,0,0,12.3,10.3,2015
301-400,Ecole Polytechnique,16-18,,21.8,0,5.1,10.9,2015
301-400,Eindhoven University of Technology,11-dic,,0,0,12.3,9.2,2015
301-400,ESPCI ParisTech,16-18,,7.3,18.8,0,10.3,2015
301-400,Federal University of Rio de Janeiro,02-abr,,0,0,0,6.1,2015
301-400,Flinders University,dic-19,,15.4,0,5.1,5.1,2015
301-400,Georgetown University,103-125,,0,0,11.1,7.5,2015
301-400,Griffith University,dic-19,,0,0,3.6,8.2,2015
301-400,Hannover Medical School,22-28,,0,0,8.7,7.9,2015
301-400,Hanyang University,06-ago,,0,0,0,6.9,2015
301-400,Indian Institute of Science,1,,0,0,7.2,2.7,2015
301-400,Jagiellonian University,01-feb,,10.3,0,3.6,5.9,2015
301-400,James Cook University,dic-19,,0,0,10.1,15.4,2015
301-400,Keio University,10-dic,,0,0,10.1,12.2,2015
301-400,King Abdullah University of Science and Technology,3,,0,0,20.3,9.5,2015
301-400,Kobe University,10-dic,,14.5,0,5.1,11.5,2015
301-400,Kyung Hee University,06-ago,,0,0,5,4.4,2015
301-400,Lancaster University,29-33,,0,0,13.9,7.4,2015
301-400,Lanzhou University,14-27,,0,0,7.1,2.9,2015
301-400,Linkoping University,08-oct,,0,0,10.7,9.3,2015
301-400,London School of Hygiene & Tropical Medicine,29-33,,7.3,0,7.1,7,2015
301-400,Nankai University,14-27,,0,0,5,5.6,2015
301-400,National and Kapodistrian University of Athens,1,,0,0,10.6,4.4,2015
301-400,National Cheng Kung University,03-may,,0,0,10.1,4.9,2015
301-400,National Chiao Tung University,03-may,,0,0,8.6,8.8,2015
301-400,Paris Dauphine University (Paris 9),16-18,,20.5,26.6,3.6,0,2015
301-400,Pohang University of Science and Technology,06-ago,,0,0,7.1,9.1,2015
301-400,Polytechnic University of Valencia,06-ago,,0,0,10.4,8.9,2015
301-400,Queen's University Belfast,29-33,,17.8,0,0,10.1,2015
301-400,Rensselaer Polytechnic Institute,103-125,,12.6,0,13.9,12,2015
301-400,Saint Petersburg State University,2,,26.7,0,0,6.7,2015
301-400,San Diego State University,103-125,,0,0,14.3,10.1,2015
301-400,Scuola Normale Superiore - Pisa,09-oct,,0,0,7.2,6.1,2015
301-400,Shandong University,14-27,,0,0,0,3.4,2015
301-400,Sichuan University,14-27,,0,0,0,4.3,2015
301-400,South China University of Technology,14-27,,0,0,7.1,5.1,2015
301-400,Southeast University,14-27,,0,0,8.7,5.6,2015
301-400,Swinburne University of Technology,dic-19,,0,0,11.3,10.7,2015
301-400,Technical University of Berlin,22-28,,16.2,0,7.8,7.4,2015
301-400,Temple University,103-125,,0,0,13.3,7,2015
301-400,The Hong Kong Polytechnic University,5,,0,0,11.3,4.9,2015
301-400,"The University of Newcastle, Australia",dic-19,,0,0,11.1,5.6,2015
301-400,The University of Reading,29-33,,0,0,14.3,8.4,2015
301-400,The University of Texas at Dallas,103-125,,0,0,10.1,11.8,2015
301-400,The University of Texas Health Science Center at San Antonio,103-125,,0,0,20.1,8.5,2015
301-400,Thomas Jefferson University,103-125,,0,0,8.9,7.2,2015
301-400,Tianjin University,14-27,,0,0,0,1.5,2015
301-400,Tongji University,14-27,,0,0,0,8.4,2015
301-400,Tulane University,103-125,,0,0,12.2,8.7,2015
301-400,Umea University,08-oct,,0,0,12.2,10.4,2015
301-400,UNESP,02-abr,,0,0,0,6.6,2015
301-400,University at Albany (State University of New York),103-125,,0,0,13.1,8.7,2015
301-400,University College Dublin,2,,0,0,10.7,9.7,2015
301-400,University of Antwerp,7,,0,0,5.1,10.7,2015
301-400,University of Belgrade,1,,0,0,0,2.5,2015
301-400,University of Bochum,22-28,,0,0,13.3,7.4,2015
301-400,University of Campinas,02-abr,,0,0,3.6,2.9,2015
301-400,University of Central Florida,103-125,,0,0,13.6,10.4,2015
301-400,University of Chile,1,,7.3,0,0,11.1,2015
301-400,University of Colorado at Denver,103-125,,0,0,15.9,10.8,2015
301-400,University of Connecticut,103-125,,11.5,0,8,8.6,2015
301-400,University of Duesseldorf,22-28,,11.5,0,6.1,9.6,2015
301-400,University of Duisburg-Essen,22-28,,0,0,8.6,9.7,2015
301-400,University of Giessen,22-28,,0,0,12.3,9.9,2015
301-400,University of Granada,06-ago,,0,0,7.1,7.6,2015
301-400,University of Malaya,1,,0,0,5,0,2015
301-400,University of Manitoba,17-18,,0,0,8.1,8,2015
301-400,University of Missouri - Columbia,103-125,,8.9,0,3.6,12.5,2015
301-400,University of Montana - Missoula,103-125,,5.1,0,15.9,13.9,2015
301-400,University of Naples Federico II,09-oct,,0,0,3.6,4.2,2015
301-400,University of New Hampshire - Durham,103-125,,0,0,14.3,10.3,2015
301-400,University of Oregon,103-125,,8.9,0,10.1,14.8,2015
301-400,University of Oulu,02-mar,,11.5,0,8.6,7,2015
301-400,University of Porto,2,,0,0,0,10.7,2015
301-400,University of Saskatchewan,17-18,,8.9,0,7.9,7.6,2015
301-400,University of St Andrews,29-33,,10.3,0,3.8,17.5,2015
301-400,University of Tasmania,dic-19,,0,0,10.1,15.1,2015
301-400,"University of Technology, Sydney",dic-19,,0,0,14.3,3.9,2015
301-400,University of Turku,02-mar,,0,0,6.3,8.2,2015
301-400,University of Twente,11-dic,,0,0,5.1,8.3,2015
301-400,University of Ulm,22-28,,0,0,12.3,12.6,2015
301-400,University of Valencia,06-ago,,0,0,8.6,7.6,2015
301-400,University of Vermont,103-125,,13.6,0,12.2,11.4,2015
301-400,University of Warsaw,01-feb,,15.4,0,0,8.8,2015
301-400,University of Wyoming,103-125,,0,0,8.6,14.4,2015
301-400,Washington State University,103-125,,0,0,17.3,8.5,2015
301-400,Wayne State University,103-125,,0,0,3.6,9.3,2015
301-400,Wuhan University,14-27,,0,0,0,2.5,2015
301-400,Xiamen University,14-27,,0,0,5.5,9.2,2015
401-500,Aalto University,04-jun,,0,0,0,10.4,2015
401-500,Aristotle University of Thessaloniki,2,,0,0,4.9,1.5,2015
401-500,Auburn University,126-146,,0,0,8.6,6.3,2015
401-500,Bar-Ilan University,05-jun,,0,0,7.2,6.9,2015
401-500,Ben-Gurion University of the Negev,05-jun,,0,0,3.6,5.6,2015
401-500,Bielefeld University,29-39,,0,0,11.8,8.6,2015
401-500,Boston College,126-146,,0,0,8.6,14.1,2015
401-500,Brunel University,34-37,,0,0,12.2,3.6,2015
401-500,Cairo University,1,,19.2,0,0,3.9,2015
401-500,Capital Medical University,28-32,,0,0,0,0,2015
401-500,Carleton University,19-20,,0,0,12.2,5.5,2015
401-500,Catholic University of Chile,2,,0,0,3.6,8,2015
401-500,Catholic University of Korea,09-dic,,0,0,0,1.5,2015
401-500,Catholic University of the Sacred Heart,nov-20,,0,0,3.6,7,2015
401-500,Chang Gung University,06-jul,,0,0,3.6,2.7,2015
401-500,Clemson University,126-146,,0,0,6.3,7.8,2015
401-500,East China University of Science and Technology,28-32,,0,0,5,4.6,2015
401-500,Eotvos Lorand University,01-feb,,13.6,0,10.1,7,2015
401-500,Ewha Womans University,09-dic,,0,0,5,8.6,2015
401-500,Federal University of Minas Gerais,05-jun,,0,0,3.6,4.4,2015
401-500,Federal University of Rio Grande do Sul,05-jun,,0,0,0,5,2015
401-500,Florida International University,126-146,,0,0,5,6.2,2015
401-500,Hiroshima University,13-18,,0,0,4.8,11,2015
401-500,Istanbul University,1,,13.6,0,0,3.4,2015
401-500,Kanazawa University,13-18,,0,0,5.1,10,2015
401-500,Kansas State University,126-146,,0,0,7.1,10.5,2015
401-500,King Fahd University of Petroleum & Minerals,4,,0,0,21.1,4.6,2015
401-500,Kyungpook National University,09-dic,,0,0,0,3.3,2015
401-500,Medical University of Graz,04-jun,,0,9.4,3.6,4.4,2015
401-500,Medical University of South Carolina,126-146,,0,0,7.2,3.3,2015
401-500,MINES ParisTech,19-22,,13.6,24.9,0,3.6,2015
401-500,Nanjing Medical University,28-32,,0,0,0,3.9,2015
401-500,Nara Institute of Science and Technology,13-18,,0,0,13.3,13.5,2015
401-500,National Sun Yat-Sen University,06-jul,,0,0,12.3,2.3,2015
401-500,Okayama University,13-18,,0,0,3.6,9,2015
401-500,Oklahoma State University,126-146,,0,0,8.6,4.6,2015
401-500,Peking Union Medical College,28-32,,0,0,0,10.8,2015
401-500,Polytechnic University of Catalonia,sep-13,,0,0,5,9.3,2015
401-500,Pusan National University,09-dic,,0,0,0,4.3,2015
401-500,Queensland University of Technology,20,,0,0,0,3.3,2015
401-500,Rush University,126-146,,0,0,10.7,6.7,2015
401-500,Saint Louis University,126-146,,0,11.5,5.1,5,2015
401-500,Sharif University of Technology,2,,15.4,0,3.6,0,2015
401-500,Soochow University,28-32,,0,0,0,4,2015
401-500,State University of New York Health Science Center at Brooklyn,126-146,,0,15.4,5.1,6.7,2015
401-500,Stellenbosch University,03-abr,,0,0,5,5.3,2015
401-500,Stockholm School of Economics,11,,0,16.3,0,,2015
401-500,Syracuse University,126-146,,0,0,8.1,8,2015
401-500,Technical University Darmstadt,29-39,,14.5,0,3.6,7.6,2015
401-500,Technical University of Braunschweig,29-39,,12.6,0,3.6,8.6,2015
401-500,Texas Tech University,126-146,,0,0,5.1,3.3,2015
401-500,The University of Texas Medical Branch at Galveston,126-146,,0,0,13.9,5.5,2015
401-500,The University of Tokushima,13-18,,13.6,0,5.1,8,2015
401-500,Tokyo Medical and Dental University,13-18,,0,0,3.6,9.2,2015
401-500,University College Cork,3,,0,0,13.1,7.5,2015
401-500,University of Alaska - Fairbanks,126-146,,0,0,12.2,11.7,2015
401-500,University of Arkansas at Fayetteville,126-146,,0,0,12.2,6.1,2015
401-500,University of Arkansas at Little Rock,126-146,,0,0,10.7,2.1,2015
401-500,University of Auvergne,19-22,,0,0,7.1,10.5,2015
401-500,University of Bath,34-37,,0,0,5.1,11.7,2015
401-500,University of Bayreuth,29-39,,0,0,8.6,13.3,2015
401-500,University of Bremen,29-39,,0,0,0,14.1,2015
401-500,University of Coimbra,3,,0,0,0,7.2,2015
401-500,University of Eastern Finland,04-jun,,0,0,10.7,5.7,2015
401-500,University of Essex,34-37,,19.2,0,8.6,1.5,2015
401-500,University of Ferrara,nov-20,,0,0,10.1,5.9,2015
401-500,University of Genoa,nov-20,,0,0,7.2,4.2,2015
401-500,University of Graz,04-jun,,7.3,9.4,0,6.2,2015
401-500,University of Halle-Wittenberg,29-39,,0,6.7,3.6,9.4,2015
401-500,University of Hannover,29-39,,0,0,8.6,10.6,2015
401-500,University of Jena,29-39,,0,0,0,9.3,2015
401-500,University of Jyvaskyla,04-jun,,0,0,3.6,10.3,2015
401-500,University of Konstanz,29-39,,0,0,12.1,11.4,2015
401-500,University of KwaZulu-Natal,03-abr,,0,0,3.6,8.4,2015
401-500,University of Ljubljana,1,,0,0,0,7.7,2015
401-500,"University of Maryland, Baltimore County",126-146,,0,0,17.4,6.5,2015
401-500,University of Milan - Bicocca,nov-20,,0,0,5,5.6,2015
401-500,University of Nice Sophia Antipolis,19-22,,0,0,3.6,16.3,2015
401-500,University of Oklahoma - Norman,126-146,,0,0,5.1,10,2015
401-500,University of Palermo,nov-20,,0,0,6.3,6.6,2015
401-500,University of Parma,nov-20,,0,0,13.6,2.1,2015
401-500,University of Pavia,nov-20,,0,0,5,5.7,2015
401-500,University of Perugia,nov-20,,0,0,3.6,7.5,2015
401-500,University of Quebec,19-20,,0,0,0,9.8,2015
401-500,University of Regensburg,29-39,,0,0,3.6,13.9,2015
401-500,University of Rennes 1,19-22,,0,0,3.6,9.2,2015
401-500,University of Rhode Island,126-146,,0,0,15.2,6.1,2015
401-500,University of Roma - Tor Vergata,nov-20,,0,0,0,8.8,2015
401-500,University of Rostock,29-39,,0,0,8.6,8.4,2015
401-500,University of Santiago Compostela,sep-13,,0,0,7.1,6.1,2015
401-500,"University of Science, Malaysia",2,,0,0,7.1,3.3,2015
401-500,University of Seville,sep-13,,0,0,0,7.5,2015
401-500,University of Surrey,34-37,,0,0,8.6,4.9,2015
401-500,University of Szeged,01-feb,,0,13.3,3.6,3.4,2015
401-500,University of the Basque Country,sep-13,,0,0,3.6,7.1,2015
401-500,University of Trieste,nov-20,,0,0,5,10.9,2015
401-500,University of Zaragoza,sep-13,,0,0,7.6,5.1,2015
401-500,Utah State University,126-146,,13.6,0,3.6,10.8,2015
401-500,Vienna University of Technology,04-jun,,0,0,0,12.2,2015
401-500,Wake Forest University,126-146,,0,0,14.9,7.5,2015
